Title,Industries,Job Skills
Commercial Director,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Microsoft Office and Sales Management and Leadership skill and Crisis Management and Critical thinking
Commercial Industrial Senior Solar Engineer,"['Energy Utilities', 'Energy Utilities']",Solar Energy and Solar
Commercial Intern,"['IT Telecom', 'IT Telecom']",Microsoft Office and Communication Skills
Commercial Operation Manager Yangon Full Time,['Medical Healthcare'],Proactive and teamwork skills
Commis All Day Dinning,['Hospitality Hotel'],Proactive and teamwork skills
Commis Chef,['Hospitality Hotel'],Cooking
Commis Pastry,['Hospitality Hotel'],Communication team work
Communication Executive Social Media,"['Education Training', 'Education Training', 'Education Training']",communication with all levels and customer services and Communication Skills
Construction Manager,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Construction Management and Crisis Management and Operation Management and Communication Skills and Technical skill and Negotiation skill
Consultancy Service for Development of Safety and Risk Management Guideline,['NGO NPO Charity'],Proactive and teamwork skills
Content Creator,"['Advertising Media Communications', 'Advertising Media Communications']",Contents Creation and Content writing skills
Content Creator Videographer,"['IT Telecom', 'IT Telecom']",Content Creation and Video photo editing
Content Marketing Executive,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Adobe Photoshop and English Skills MS Office and Team Work and Collaboration and Diploma
Content Specialist,"['Education Training', 'Education Training', 'Education Training']",Contents Creation and Content writing skills and IELTS Overall Band Score
Content Writer,"['Property Real Estate', 'Property Real Estate', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Microsoft Word and Teamwork communication skills and Teamwork communication skills and Office staff Content Writer and Content Wrting and Creative content writing and Writing contents
Content Writer Mandalay Male Post,['Agriculture'],Content Management System
Contract Supervisor,"['Energy Utilities', 'Energy Utilities', 'Energy Utilities']",able to travel within Myanmar C and Negotiating contracts and Languages Myan Eng and Chinese
Copy Content Writer,"['Advertising Media Communications', 'Advertising Media Communications']",Proactive and teamwork skills and Researches
Corporate Sales Analyst Life Insurance,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Proactive and teamwork skills and Banking and Finance Skill and Computer excel word internet em
Cost Control,['Hospitality Hotel'],INVENTORY RECONCILIATION
Creative D Designer,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events']",Teamwork and collaboration and Adobe Photoshop CC and Sketch UP D and D Studio Max Design and C D and conceptual thinking creative
Creative Designer,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Advertising Media Communications', 'Advertising Media Communications']",Photoshop Illustrator Indesign and Graphic Design and Photoshop and Adobe Affter Effect and Teamwork communication skills and Learn quickly to new job
Creative Interior Designer M F posts,['Agriculture'],Creative
Customer Care Intern,"['Recruitment', 'Recruitment']",IT literacy and IT literacy
Customer Relationship Executive,"['Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services']",Sales Marketing and PR and Communication and Proactive and teamwork skills
Customer Sales Representative,['IT Telecom'],customer services
Customer Service,"['Shipping Logistics', 'IT Telecom', 'Recruitment', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Travel Tourism Transportation', 'Shipping Logistics', 'IT Telecom', 'IT Telecom', 'Manufacturing Warehousing', 'Medical Healthcare', 'Medical Healthcare']",Logistics customer service and Customer care and reception and Proactive and teamwork skills and Proactive and teamwork skills and IT literacy and Communication Skills and Customer Management and Shipping Logistic and Good English Burmese Typing and IT literacy and Teamwork communication skills and Computerize Skill and Telephone Communications
Customer Service Desk,['IT Telecom'],Teamwork communication skills
Customer Service Executive,"['Agriculture', 'Recruitment', 'Shipping Logistics', 'Shipping Logistics', 'Advertising Media Communications', 'Advertising Media Communications', 'Retail Fashion FMCG']",Customer service experience and IT literacy and Logistics customer service and Communication Skills and Proactive and teamwork skills and IT literacy and customer services
Customer Service Executive Male Hlaing,['IT Telecom'],Customer service experience
Customer Service Manager,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Call Center']",Management and Problem Solving Skill and Communication Skills and Teamwork and collaboration and Cutomers Service
Customer Service Officer post,['Retail Fashion FMCG'],Sales Customer Services Skill
Customer Service Representative,"['Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Computing Skills and Problem Solving Skill and Communication and IT literacy and Microsoft Office and Interpersonal Skills and English Communication Skills and Communication skill and Customer Service Representative and skill in Thai and Myanmar and Customers service support and Accounting Knowledge and Miscrosoft Office and Coustomer complaint
Customer Service Supervisor Home Appliance Products,['IT Telecom'],Customer service experience
Customer service Tele Sale,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",communication with all levels and Sales Operations Process and Teamwork and Self motivation Hard Working
DG Mechanic Shan Region,['IT Telecom'],Telecom Power System
DUTY MANAGER,['Hospitality Hotel'],Ability to manage
Data Analyst,['Recruitment'],IT literacy
Data Entry,"['Call Center', 'Call Center']",Computing Skills and Myanmar Pyidaungsu and Englis
Data Entry Ywarthargyi,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Data Analysis and Warehouse Management and Warehouse Management System WMS
Delivery Assistant,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Sale Admin Account Logistic WH and Excel Software and Computer Excel Office word pdf and Problem Solving Communication and Teamwork communication skills
Delivery Assistant M F,"['Shipping Logistics', 'Shipping Logistics']",Proactive and teamwork skills and Teamwork communication skills
Delivery Person Yangon Posts Males,['Medical Healthcare'],Customer Management
Department Manager,['Retail Fashion FMCG'],Proactive and teamwork skills
Deputy Manager Admin,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Administration and Teamwork and collaboration and Legal Skill and Social compliance
Deputy Manager Administration Finance,['NGO NPO Charity'],Admin and Finance sectors
Deputy Manager Engineering,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Teamwork and collaboration and Engineering Knowledge and Industrial Electrical Control and Mechanical Control automation
Deputy Manager Production,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Teamwork and collaboration and Production process management and Consumer Package Goods and Active Right Time Like to learn
Deputy Project Director Road Construction PaLetWa,['Construction Engineering'],Engineering
Digital Marketing,"['Advertising Media Communications', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Shipping Logistics', 'Recruitment', 'Recruitment', 'Recruitment', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Banking and Finance Skill and Designing implementation and Facebook other and conceptual thinking creative and Photoshop Illustrator and Digital marketing and Design and Digital marketing and Writing script and content and Basic Developer Skills and Sale digital marketing
Digital Marketing Assistant Manager,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Marketing and Digital marketing and Social Media and Social media advertising
Digital Marketing Associate,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Customer Management and Market Research Analysis and Project Sale Digital Marketing
Digital Marketing Executive,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Advertising Media Communications', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Education Training', 'Education Training', 'Education Training', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Interpersonal skill and Content writing skills and Social media platform marketing and Logical and Critical Thinking and Retail Category Management and Digital marketing and Website Management and Content and Content writing skills and Social media platform marketing and Content Design PicsArt and Content Management System and Strategic Content Planning and Sale digital marketing and Market Research and Social media platform marketing and Digital marketing and Creative Skills and IT literacy and Digital marketing and IT literacy and Communication Skills and Digital marketing and Creative idea and Marketing and Digital marketing and Social media platform marketing
Digital Marketing Executive Content Writer Tachileik,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",English skill Fair and Social Media Trends and Digital Marketing Executive and Creative content writing and Social media platform marketing
Digital Marketing Executive Male,"['Shipping Logistics', 'Shipping Logistics']",Computer Skills Advanced and Marketing Management
Digital Marketing Executive Mandalay Male Female Posts,"['Agriculture', 'Agriculture']",Sale digital marketing and Sales and Markeing
Digital Marketing Executive Yangon,['Manufacturing Warehousing'],Banking and Finance Skill
Digital Marketing Manager,"['Property Real Estate', 'Retail Fashion FMCG', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",distribution marketing and Advertising Promotions and Teamwork and collaboration and Digital communications and Digital Transformation and Creative Problem Solving and Teamwork and collaboration and Digital communications and Digital Transformation and Creative Problem Solving
Digital Marketing Manager Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Digital marketing and Social Media Marketing and Website development and Contents Creation
Digital Marketing Specialist,"['Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'IT Telecom', 'IT Telecom']",Facebook other and Able to communicate with people and Able to useDigitalTools G suit and Strong customer focus and Market Research Analysis and Digital Transformation and Content writing skills
Digital Marketing Specialist Marketing Advertising PR,"['Education Training', 'Education Training']",Communication Skills and Customer Service creativity
Digital Marketing Supervisor FVS Corporate Insurance Co Ltd,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Digital Marketing social and Digital marketing Facebook
Digital Marketing Team Leader,['Retail Fashion FMCG'],Computer Skills Advanced
Digital Marketing Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sale digital marketing and Digital marketing and Teamwork communication skills and Proficient Problem Solving and Email internet and Marketing Management
Digital Marketing associate,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",High level of problem solving and Word Excel Power Point and Digital Marketing Skill and Diploma in Marketing and Researching and analyzing and SEM SEO google analytics and Good Team work player and MS Office Excel Power Point
Digital Sale Marketing,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Sale digital marketing and Digital marketing and Health Education and Educational Sales and Contents Creation and Content writing skills and Sale Marketing Management and Sales marketing and customer and Marketing Techniques
Digital Sales,['Manufacturing Warehousing'],Communication team work
Director Of Sales,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations']",Monitoring Sales Performance and Strategic and Business Analysis and Strategic Sales Planning and Business Development Skills
Document Control Executive Female Post,"['Shipping Logistics', 'Shipping Logistics']",Document Control and Microsoft word excle
Documentation Supervisor Female Post Mandalay,['Agriculture'],Document Control
Dot Net Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom']",C ASp Net Core and C NET Window and Web and sql mysql
Drafter M F Post,['Construction Engineering'],M E construction
Drafting Engineer Civil work,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Interpersonal Skills and Creative Skills and Auto CAD Drawing D D
Driver,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Shipping Logistics', 'Shipping Logistics', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Manufacturing Warehousing', 'Education Training', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Travel Tourism Transportation']",Driving and Teamwork communication skills and Professional Driving Skills and interpersonal skills and Professional Driving Skills and Professional Driving Skills and Auto manual and Attained Driving License D and Good communication skill and Teamwork communication skills and Driving Skill and Proactive and teamwork skills and Hardworking attitude and Driving
Driver Cum Delivery Man,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Driving and Working with a team and Computer Skills
Driver For Minn Tun Trading Co Ltd,['Travel Tourism Transportation'],Driver yr
Driver Posts,['Automotive Aviation'],Driver
Driver Yangon Yankin Township,['Automotive Aviation'],Driving Vehicles
Driver travel tourism,['Travel Tourism Transportation'],operation project
E Commerce Manager,['Construction Engineering'],Sales Marketing Management Pr
EXPORT IMPORT STAFF Documentation,['Shipping Logistics'],Microsoft s
Early Years Class Teacher,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teaching Pre Young Adults and Teaching English Language and Teaching Mathematics and Teaching and Supervision and Teaching with activities and Teaching english to children and Good at motivating and teaching and Professional Driving Skills
Economic Lecturer Part Time,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",Teaching sharing Knowledge and Teaching and Presentation and Teaching and Training and Teaching Coaching
Editor,"['Advertising Media Communications', 'Advertising Media Communications']",TV and Entertainment Production and Advertising Promotions
Education Consultant,"['Education Training', 'Education Training', 'Education Training']",Education Leadership and Education Counselling and Educational Field
Education Counsellor,"['Education Training', 'Education Training']",Education Counselling and Educational Field
Educational Counsellor,['Education Training'],Education Counselling
Electrical Engineer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Proactive and teamwork skills and IT literacy and Proactive and teamwork skills and IT literacy
Electrical Engineer Solar Field,['Construction Engineering'],Electrical Engineering
Electrical Maintenance Myo Thar,['Manufacturing Warehousing'],Maintenance M E
Electrical engineer Yangon,['Manufacturing Warehousing'],Retail Category Management
Energy Manager,['IT Telecom'],Telecom Operation
Event Activations Manager,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Creative idea and Creativity Event planner and Time Management and Event Planning and Management and Creative idea and Time Management and Creativity Event planner and Event Planning and Management
Event Planning Manager Strategic Account Manager,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Working under pressure and Agency Vendor Management and Client relationship skill and Event Planning and Management and Overseeing and Manage Architect and Working under pressure and Agency Vendor Management and Client relationship skill and Event Planning and Management and Overseeing and Manage Architect
Executive Assistant Win Myint Mo Industries Company,['Energy Utilities'],Financial Analysis Repoting
Executive Assistant to CFO Win Myint Mo Industries Company,['Construction Engineering'],Ability to manage
Executive Sales Inside Post,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",distribution marketing and Computer Skills Advanced and Email internet and Computer excel word internet em and Advance
Executive Secretary,"['Hospitality Hotel', 'Hospitality Hotel']",PR and Communication and Good Computer literacy
Executive Secretary Chinese Speaking Act like translator as well,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Computer Microsoft series and Teamwork communication skills
F B Captain,['Hospitality Hotel'],Ability to work under pressure
FME Field Maintenance Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Teamwork communication skills and operation project and Ability to work flexibly
Facebook Live Sales Girl,['Manufacturing Warehousing'],Social media marketing
Facebook Page Admin,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Social Media and Facebook digital tools
Factory General Manager Male Post,['Agriculture'],Teamwork communication skills
Factory Manager Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Leadership skill and Production process management and Factory Maintenance and Utility and Factory Management Skill and Leadership skill and Production Management and Factory Maintenance and Utility and Factory Management Skill
Factory Supervisor Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Production process management and Factory maintenance and Factory Management Skill
Field Engineer,['IT Telecom'],Telecom Operation
Field Technician,['IT Telecom'],Telecom Operation
Finance Accountant and admin staff,"['NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity']",Finance Accounting Field and Problem Solving Skill and Account payable Receivable and Admin Accountant and Fixed Asset Control and Microsoft Office Word Excel and Proactive and positive thinking and Payroll and budgeting
Finance Accounting Executive,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events']",Finance Accounting Field and Vendor management and Accounting Finance and Client Relation Satisfaction
Finance Assistant,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Medical Healthcare']",Accounting and Finance and Internal Audit and Proactive and teamwork skills
Finance Associate Female Posts YGN MDY,['Shipping Logistics'],Teamwork communication skills
Finance Executive,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Banking and Finance Skill and Accounting and Finance and Excel pre financial statements
Finance Lecturer Part Time,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",Finance Accounting Field and Teaching sharing Knowledge and Teaching and Presentation and Teaching Coaching
Finance Manager,"['Education Training', 'Education Training', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Finance Accounting Field and Finance Manager and Financial Analysic Budgeting and Finance Accounting Field and Financial Reporting and Financial Analysis and Financial Analysic Budgeting and Finance Accounting Field and Financial Reporting and Financial Analysis
Finance Manager Construction Sector,"['Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services']",Finance Accounting Field and Construction and ACCA part
Finance Officer Assistant Posts,['Food Beverages'],Banking and Finance Skill
Finance and Operations Manager,"['NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity']",Accounting and Project Operation Management and Finance management and Compliance Audit
Firemen,['Energy Utilities'],Proactive and teamwork skills
Fitter Fresh Air Systems Mandalay and Nay Pyi Taw,['Construction Engineering'],Beginner
Fleet Manager Ywarthargyi,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Logistics and fleet Management and Time Management and Well known in Transport sector
Fleet Support Transport Operations,['Shipping Logistics'],Fleet Management
Foreman Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing']",Factory and foreman production
Forklift Driver,"['Shipping Logistics', 'Shipping Logistics']",Driving Skill and Can drive well forklift
Freelance Video Editor,['Recruitment'],Video photo editing
Freight forwading Operation executive,['Shipping Logistics'],Freight forwarding operation
Freight forwarding sales executive,"['Shipping Logistics', 'Shipping Logistics']",Logistics Freight Forwarding and Freight Forwarding Marketing
Front Office Junior Receptionist,['Hospitality Hotel'],Microsoft Office
Front Office Supervisor,['Hospitality Hotel'],Front Office Supervisor
Frontend Mobile and Web Developer React Native React JS,['Travel Tourism Transportation'],Basic Developer Skills
Fuel Coordinator,['IT Telecom'],Energy
Full Stack Web Developer Tachileik,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",communication with all levels and Web Development WordPress and creative web design and Fundamental of Web Technology
GED Instructor,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teamwork and collaboration and Teaching English and Social Sci and Teaching and Training and Teaching Mathematics Physics and Social Studies teaching and Communication Patience Hardwork
GSA Reception,['Hospitality Hotel'],Proactive and teamwork skills
GSA Steward,['Hospitality Hotel'],Teamwork communication skills
General Manager,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'NGO NPO Charity', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",General management and Operation Management and Sales Management and customer services and Team Leadership and Beauty Spa and Advertising promotion Event and Proactive and teamwork skills and Production Management and Manufacturing Field and Manufacturing Field and Manufacturing Operations
General Manager Real Estate URGENT,['Property Real Estate'],Real estate
Golf Pro Shop,['Hospitality Hotel'],Sales Distribution
Government Liaison Coordinator,"['Education Training', 'Education Training', 'Education Training']",Office and Administration and Teamwork communication skills and Admin Data entry
Grant and Partnership Officer,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Contract Management and Financial and Procurement and Negotiation and Office administration skills
Graphic Design Officer,"['Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel']",Graphic designer and Adobe Photoshop CC and Adobe Illustrator CC
Graphic Designer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Medical Healthcare', 'Advertising Media Communications', 'Advertising Media Communications', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Education Training', 'Education Training', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Hospitality Hotel', 'Medical Healthcare', 'Property Real Estate', 'Hospitality Hotel', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Proactive and teamwork skills and Microsoft s and Government Process and Learing and Designing implementation and Communication Teamwork and Editor Graphic Designer and Graphic Design Creation and Problem Solving Skill and Graphic designer and creativity and innovation and Creativity Typography and Graphic design and Photo Video Editing and Graphic designer and Graphic design and Time management and Good communication skill and Good team works and Graphic Designs Creation and Social Media Ads Design and Graphic designer and Graphic Design for Social Media and Adobe Premiere Motion graphic and DTP photoshop Graphic Design and Designing implementation and Microsoft s and Advertising and Promotions and Communication Skills and Teamwork and Creative Skills
Graphic Designer Mandalay Male Post,['Agriculture'],Graphic designer
Graphic Designer Tachileik,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",creativity and innovation and Creative Designs Layout Design and Very good communication skills and Social Media Trends
Graphic Designer Urgent,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",DTP photoshop Graphic Design and Graphic Designs and Graphic Designs Creation
Graphic Designer Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Graphic design illustration and Graphic Designs Creation and Graphics Video Editing and Photoshop and graphic
Graphit Designer,"['Advisory and Financial Services', 'Advisory and Financial Services']",Proactive and teamwork skills and Designing implementation
Grounds Keeper,"['Education Training', 'Education Training', 'Education Training']",Housekeeping and Housekeeping and Gardener and garden
HR,['BPO Business Process Outsourcing'],Bookkeeping of accounts
HR Admin Executive,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Retail Fashion FMCG']",Negotiation Skills and Payroll and recruitment and Problem Soving Skill and HR Admin Field
HR Admin Manager,"['Enforcement Security', 'Enforcement Security', 'Enforcement Security']",IT literacy and Microsoft s and Government Process
HR Admin Staff,"['Recruitment', 'Recruitment']",Adminstration of human Resource and Human Resources Skills
HR Assistant,"['Education Training', 'Education Training', 'Education Training']",HR Management Operation Admin and English Communication Skills and Recruitment Customer Service
HR Assistant Manager,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",High level of problem solving and Organization skill and HRM and HRD and Great time management skill and Negotitation
HR Associate,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Communication Skills and Communicative English and HRM knowledge
HR Executive,['Hospitality Hotel'],Administration HR
HR Executive Training Development,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",HR Skill Knowledge and Ability to manage and Ability to work flexibly and Communication team work and HR management collaboration
HR Manager,"['Medical Healthcare', 'Medical Healthcare', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",HRM HRD and English Intermediate and HR Management Operation Admin and Interpersonal Communication and flexible to work with all and Leadership influencing and good personality and Energetic and HR Management Operation Admin and Interpersonal Communication and flexible to work with all and Leadership influencing and good personality and Energetic and Manufacturing Field and Manufacturing Field and Manufacturing Field
HR Officer,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Administration HR and HR Skill Knowledge and HR management collaboration and Negotiation Mediation and Problem Solving Skill and Interpersonal skill and Microsoft Word Excel Power Po and Office administrative Jobs and Excellent Communication and Confidentiality Accuracy and Business English Communication and HUMAN RESOURCES MANAGEMENT and Confident and positive attitude
HR Officer For Naungdon Post,['Agriculture'],Administration HR
HR Staff,['Construction Engineering'],Administration HR
HR Supervisor,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Microsoft Office and Communication Skills and Microsoft and Negotiation and Viber for Business
HR admin supervisor post Male or Female,['Medical Healthcare'],Administration HR
HRD Training and Development,['Food Beverages'],HRM HRD
HSE Department Assistant,"['Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities']",Computer Microsoft series and Engineering Knowledge and Able to travel and Languages Myan Eng and Chinese and Communication Patience Hardwork and Computer Microsoft series and Engineering Knowledge and Able to travel and Languages Myan Eng and Chinese and Communication Patience Hardwork
HSE specialist HSE,['Energy Utilities'],Proactive and teamwork skills
Head Chef,['Retail Fashion FMCG'],kitchen management cake bread
Head Of Strategic Planning And Project Management,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Problem Solving and Multi Tasking Process and distribution marketing and Ability to manage
Head of Finance,['Hospitality Hotel'],Credit Card Machines
Head of Internal Audit Win Myint Mo Industries Co Ltd,"['Mining Metal Chemicals', 'Mining Metal Chemicals', 'Mining Metal Chemicals']",Banking Finance and Planning communicating monitor and Team work leadership analytic
Head of Marketing,"['Manufacturing Warehousing', 'IT Telecom']",Sales Marketing Manager and Marketing and Communication
Head of Sales,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Operation Management and Sales Management and Leadership skill and Businesses Development
Housekeeping Laundry,['Hospitality Hotel'],Housekeeping
Hr Manager,['Manufacturing Warehousing'],Administration HR
